date,span,bool_bias,mean_price,mean_price_var,mean_vol,vol_0,vol_1,vol_2
20220924,5,22211,98996.00,0.000,1359.37,7894,184,14133
20221013,8,20486,101669.07,0.000,1396.56,7067,216,13203
20221014,7,17565,101062.39,0.000,1510.78,6092,217,11256
20221017,7,17034,101271.54,-0.000,1672.24,6140,261,10633
20221018,10,23093,101422.45,0.000,1551.95,8356,312,14425
20221020,10,24629,101553.52,-0.000,1647.74,9045,330,15254
20221021,3,8280,100935.55,-0.000,1499.38,3211,69,5000
20221021,7,15744,101777.01,0.000,1561.38,6182,179,9383
20221022,5,12882,101342.65,0.000,1429.29,5106,109,7667
20221022,6,548,102253.38,-0.000,1489.09,222,10,316
20221022,8,17643,101608.67,0.000,1485.36,7145,188,10310
20221023,7,16056,101430.73,-0.000,1442.93,6409,147,9500
20221023,9,18403,101466.89,0.000,1449.71,7654,188,10561
20221023,15,34856,101243.61,-0.000,1496.28,13239,396,21221
20221023,90,312248,109366.97,-0.000,1286.24,122879,2546,186823
20221024,1,1267,101040.90,0.000,1339.84,612,11,644
20221024,2,2381,100601.91,-0.000,1066.92,1189,14,1178
